AcademicYear,LTLA22NM,SENprovision_Name,SEN_Type_Count,TotalPupils,Percent,Percentage
200708,LA3 Urban,EHCP,1,2,0.5,50
200708,LA3 Urban,No SEN support,1,2,0.5,50
200809,LA3 Urban,EHCP,2,25,0.08,8
200809,LA3 Urban,No SEN support,17,25,0.68,68
200809,LA3 Urban,SEN support,6,25,0.24,24
200809,LA2 Rural Rural,EHCP,1,49,0.020408163,2
200809,LA2 Rural,No SEN support,37,49,0.755102041,76
200809,LA2 Rural,SEN support,11,49,0.224489796,22
200910,LA3 Urban,EHCP,7,170,0.041176471,4
200910,LA3 Urban Urban,No SEN support,137,170,0.805882353,81
200910,LA3 Urban,SEN support,26,170,0.152941176,15
200910,LA1 Rural,No SEN support,3,3,1,100
200910,LA4 Urban Urban,No SEN support,17,19,0.894736842,89
200910,LA4 Urban,SEN support,2,19,0.105263158,11
200910,LA2 Rural,EHCP,3,333,0.009009009,1
200910,LA2 Rural,No SEN support,273,333,0.81981982,82
200910,LA2 Rural,SEN support,57,333,0.171171171,17
201011,LA3 Urban,EHCP,15,451,0.033259424,3
201011,LA3 Urban,No SEN support,356,451,0.789356984,79
201011,LA3 Urban,SEN support,80,451,0.177383592,18
201011,LA1 Rural Rural,EHCP,1,10,0.1,10
201011,LA1 Rural,No SEN support,7,10,0.7,70
201011,LA1 Rural,SEN support,2,10,0.2,20
201011,LA4 Urban,No SEN support,36,44,0.818181818,82
201011,LA4 Urban,SEN support,8,44,0.181818182,18
201011,LA2 Rural,EHCP,7,777,0.009009009,1
201011,LA2 Rural,No SEN support,642,777,0.826254826,83
201011,LA2 Rural,SEN support,128,777,0.164736165,16
201112,LA3 Urban,EHCP,41,883,0.046432616,5
201112,LA3 Urban,No SEN support,713,883,0.807474519,81
201112,LA3 Urban,SEN support,129,883,0.146092865,15
201112,LA1 Rural,EHCP,8,144,0.055555556,6
201112,LA1 Rural,No SEN support,116,144,0.805555556,81
